City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,3.22,95,100,0.97,RU,1694835810
1,fuente del maestre,38.5266,-6.4478,16.86,80,65,2.57,ES,1694836376
2,klyuchi,52.2667,79.1667,16.08,64,89,2.38,RU,1694835835
3,puerto natales,-51.7236,-72.4875,-0.3,90,11,2.43,CL,1694835818
4,waitangi,-43.9535,-176.5597,10.46,76,48,4.02,NZ,1694835816
5,port elizabeth,-33.918,25.5701,11.16,58,0,5.14,ZA,1694835808
6,rio grande,-32.035,-52.0986,11.64,80,88,6.56,BR,1694835819
7,olonkinbyen,70.9221,-8.7187,2.8,63,24,5.23,SJ,1694835822
8,ushuaia,-54.8,-68.3,1.81,75,75,3.6,AR,1694835811
9,imbituba,-28.24,-48.6703,13.94,91,7,5.25,BR,1694836378
10,minas de marcona,-15.2119,-75.1103,13.18,79,100,3.37,PE,1694836378
11,port-aux-francais,-49.35,70.2167,5.66,91,100,15.99,TF,1694835814
12,lompoc,34.6391,-120.4579,18.07,92,100,3.09,US,1694835834
13,hermitage,41.2334,-80.4487,13.96,91,0,3.6,US,1694836103
14,margaret river,-33.95,115.0667,16.02,69,100,2.81,AU,1694835844
15,mogocha,53.7333,119.7667,16.1,40,99,1.81,RU,1694835837
16,invercargill,-46.4,168.35,17.23,57,61,6.71,NZ,1694835822
17,hithadhoo,-0.6,73.0833,28.04,78,85,7.62,MV,1694835864
18,argostolion,38.1811,20.489,23.75,37,9,2.45,GR,1694836380
19,nyurba,63.2842,118.3319,7.04,49,71,4.98,RU,1694835899
20,geraldton,-28.7667,114.6,23.23,49,40,4.12,AU,1694835865
21,manado,1.487,124.8455,32.43,58,40,2.06,ID,1694836380
22,toamasina,-18.1667,49.3833,20.0,94,75,4.12,MG,1694836381
23,adamstown,-25.066,-130.1015,17.83,91,100,13.6,PN,1694835806
